"","year","State","type","spm","rspm","no2","so2"
"89",2004,"Haryana","Industrial Area",241.102,136.772,23.041,16.865
"90",2004,"Haryana","Residential, Rural and other Areas",251.325,152.008,21.328,7.508
"91",2004,"Himachal Pradesh","Industrial Area",327.461,91.87,10.658,2.673
"92",2004,"Himachal Pradesh","Residential, Rural and other Areas",163.188,91.87,13.93,3.746
"93",2004,"Himachal Pradesh","Sensitive Area",47.873,91.87,10.953,3.627
"94",2004,"Jharkhand","Industrial Area",297.555,172.792,57.771,30.808
"95",2004,"Jharkhand","Residential, Rural and other Areas",216.115,129.281,55.383,12.422
"96",2004,"Karnataka","Industrial Area",120.217,61.821,38.194,9.601
"97",2004,"Karnataka","Residential, Rural and other Areas",136.803,69.635,41.91,8.426
"98",2004,"Karnataka","Sensitive Area",131.303,57.557,50,7.515
"99",2004,"Madhya Pradesh","Industrial Area",205.902,107.91,20.698,10.551
"100",2004,"Madhya Pradesh","Residential, Rural and other Areas",147.894,81.969,17.19,7.549
"101",2004,"Maharashtra","Industrial Area",161.575,91.626,27.834,18.967
"102",2004,"Maharashtra","Residential, Rural and other Areas",143.536,137.014,30.337,19.647
"103",2004,"Meghalaya","Residential, Rural and other Areas",65.25,54.206,10.571,3.065
"104",2004,"Odisha","Industrial Area",166.024,82.3,12.396,4.292
"105",2004,"Odisha","Residential, Rural and other Areas",125.723,67.93,10.503,2.736
"106",2004,"Puducherry","Industrial Area",68.258,68.918,21.289,24.216
"107",2004,"Puducherry","Residential, Rural and other Areas",51.378,43.835,15.596,21.186
"108",2004,"Punjab","Industrial Area",180.823,223.483,33.634,14.66
"109",2004,"Punjab","Residential, Rural and other Areas",173.776,243.507,40.45,14.885
"110",2004,"Rajasthan","Industrial Area",268.929,115.025,23.796,6.952
"111",2004,"Rajasthan","Residential, Rural and other Areas",285.347,106.314,30.029,6.138
"112",2004,"Tamil Nadu","Industrial Area",168.695,58.969,25.065,7.058
"113",2004,"Tamil Nadu","Residential, Rural and other Areas",116.628,45.073,21.079,5.822
"114",2004,"Uttar Pradesh","Industrial Area",164.529,151.49,28.079,17.35
"115",2004,"Uttar Pradesh","Residential, Rural and other Areas",212.338,158.895,22.47,14.316
"116",2004,"Uttarakhand","Residential, Rural and other Areas",273.141,145.696,25.073,20.803
"117",2004,"West Bengal","Industrial Area",205.98,123.892,57.284,12.263
"118",2004,"West Bengal","Residential, Rural and other Areas",152.149,144.01,64.214,10.82
"119",2005,"Andhra Pradesh","Industrial Areas",234.281,80.594,27.934,5.744
"120",2005,"Andhra Pradesh","Residential and others",218.465,80.218,31.809,6.368
"121",2005,"Andhra Pradesh","Sensitive Areas",100.077,48.731,18.527,7.046
"122",2005,"Assam","Residential and others",187.215,111.227,17.315,5.341
"123",2005,"Bihar","Residential and others",266.97,103.388,34.444,12.279
"124",2005,"Chandigarh","Industrial Areas",296.661,117.898,19.904,3.493
"125",2005,"Chandigarh","Residential and others",207.886,88.82,14.824,3.158
"126",2005,"Chhattisgarh","Industrial Areas",318.265,208.735,34.252,17.262
"127",2005,"Chhattisgarh","Residential and others",211.351,111.67,24.826,13.699
"128",2005,"Delhi","Industrial Areas",390.045,170.737,43.533,10.853
"129",2005,"Delhi","Residential and others",346.256,130.162,51.409,8.504
"130",2005,"Goa","Industrial Areas",168.471,54.063,13.082,7.203
"131",2005,"Goa","Residential and others",104.824,56.12,13.217,7.617
"132",2005,"Gujarat","Industrial Areas",282.443,147.285,31.022,18.891
"133",2005,"Gujarat","Residential and others",202.102,109.301,25.08,15.857
"134",2005,"Haryana","Industrial Areas",343.607,157.911,25.335,13.093
"135",2005,"Haryana","Residential and others",251.45,112.78,21.971,11.393
"136",2005,"Himachal Pradesh","Industrial Areas",272.76,91.87,15.66,3.174
"137",2005,"Himachal Pradesh","Residential and others",133.359,66.627,17.03,4.415
"138",2005,"Himachal Pradesh","Sensitive Areas",59.329,29.041,13.577,3
"139",2005,"Jharkhand","Industrial Areas",296.971,147.932,50.44,29.245
"140",2005,"Jharkhand","Residential and others",221.97,119.75,45.802,15.955
"141",2005,"Karnataka","Industrial Areas",106.907,53.513,35.461,11.66
"142",2005,"Karnataka","Residential and others",246.045,90.628,20.991,6.25
"143",2005,"Karnataka","Sensitive Areas",126.426,56.208,41.566,9.153
"144",2005,"Kerala","Industrial Areas",113.569,79.163,15.029,10.651
"145",2005,"Kerala","Residential and others",85.849,60.182,20.124,6.001
"146",2005,"Madhya Pradesh","Industrial Areas",225.012,125.268,15.065,13.588
"147",2005,"Madhya Pradesh","Residential and others",179.305,86.563,20.148,11.697
"148",2005,"Maharashtra","Industrial Areas",221.824,99.339,32.4,23.832
"149",2005,"Maharashtra","Residential and others",214.438,93.488,27.908,17.648
"150",2005,"Maharashtra","Sensitive Areas",205.256,101.48,21.086,8.257
"151",2005,"Mizoram","Residential and others",93.587,27.856,6.682,2.085
"152",2005,"Nagaland","Residential and others",153.86,79.817,11.053,2.06
"153",2005,"Odisha","Industrial Areas",177.51,86.392,14.999,5.644
"154",2005,"Odisha","Residential and others",140.953,72.456,15.205,5.097
"155",2005,"Puducherry","Industrial Areas",85.966,56.742,16.746,21.443
"156",2005,"Puducherry","Residential and others",77.854,47.602,13.55,12.882
"157",2005,"Punjab","Industrial Areas",244.752,225.133,33.355,17.563
"158",2005,"Punjab","Residential and others",232.909,198.269,31.513,13.82
"159",2005,"Rajasthan","Industrial Areas",266.231,105.983,24.255,8.287
"160",2005,"Rajasthan","Residential and others",287.042,104.902,25.562,7.055
"161",2005,"Tamil Nadu","Industrial Areas",136.385,62.322,23.543,13.011
"162",2005,"Tamil Nadu","Residential and others",105.821,48.84,26.85,10.849
"163",2005,"Uttar Pradesh","Industrial Areas",382.18,182.485,24.176,15.42
"164",2005,"Uttar Pradesh","Residential and others",364.932,167.102,24.917,12.379
"165",2005,"Uttar Pradesh","Sensitive Areas",366.312,175.165,28.335,11.548
"166",2005,"Uttaranchal","Residential and others",374.299,152.862,26.039,22.07
"167",2005,"West Bengal","Industrial Areas",254.151,118.893,54.792,9.447
"168",2005,"West Bengal","Residential and others",222.717,122.327,50.485,10.845
"169",2006,"Andhra Pradesh","Industrial Areas",232.417,91.362,30.43,7.309
"170",2006,"Andhra Pradesh","Residential and others",208.373,90.935,28.566,8.541
"171",2006,"Andhra Pradesh","Sensitive Areas",134.856,59.544,19.986,6.573
"172",2006,"Assam","Residential and others",164.357,94.924,16.184,6.207
"173",2006,"Bihar","Residential and others",291.935,111.23,39.41,10.149
"174",2006,"Chandigarh","Industrial Areas",289.66,137.487,18.177,2.677
"175",2006,"Chandigarh","Residential and others",202.333,96.394,14.797,2.695
"176",2006,"Chhattisgarh","Industrial Areas",277.397,175.106,32.055,18.584
"177",2006,"Chhattisgarh","Residential and others",201.006,119.246,24.604,14.13
"178",2006,"Delhi","Industrial Areas",449.335,182.887,45.279,10.766
"179",2006,"Delhi","Residential and others",400.559,157.541,47.143,8.912
"180",2006,"Goa","Industrial Areas",122.918,50.452,11.731,7.21
"181",2006,"Goa","Residential and others",97.841,48.61,11.828,7.268
"182",2006,"Gujarat","Industrial Areas",240.25,133.424,28.931,18.472
"183",2006,"Gujarat","Residential and others",170.293,100.82,23.432,14.91
"184",2006,"Haryana","Industrial Areas",311.26,151.751,26.152,13.336
"185",2006,"Haryana","Residential and others",249.115,144.096,18.06,8.954
"186",2006,"Himachal Pradesh","Industrial Areas",365.483,105.374,14.896,3.231
"187",2006,"Himachal Pradesh","Residential and others",156.101,82.588,16.856,4.201
"188",2006,"Himachal Pradesh","Sensitive Areas",89.8,41.228,11.87,4.048
"189",2006,"Jharkhand","Industrial Areas",277.27,152.287,52.474,33.797
"190",2006,"Jharkhand","Residential and others",222.312,139.312,55.95,20.9
"191",2006,"Karnataka","Industrial Areas",159.964,63.438,26.449,13.814
"192",2006,"Karnataka","Residential and others",170.306,59.535,23.726,9.028
"193",2006,"Karnataka","Sensitive Areas",176.912,65.888,35.125,16.567
"194",2006,"Kerala","Industrial Areas",112.831,78.185,14.262,10.916
"195",2006,"Kerala","Residential and others",77.301,56.975,19.623,5.741
"196",2006,"Madhya Pradesh","Industrial Areas",213.972,125.33,14.511,12.756
"197",2006,"Madhya Pradesh","Residential and others",176.33,93.543,17.719,10.515
"198",2006,"Madhya Pradesh","Sensitive Areas",128.133,57.356,13.864,16.3
"199",2006,"Maharashtra","Industrial Areas",190.778,87.139,32.127,22.545
"200",2006,"Maharashtra","Residential and others",204.56,87.719,27.588,16.15
"201",2006,"Maharashtra","Sensitive Areas",155.258,74.293,14.923,4.885
"202",2006,"Meghalaya","Residential and others",77.58,60.875,11.826,8.279
"203",2006,"Mizoram","Residential and others",95.968,38.858,9.53,2.481
"204",2006,"Nagaland","Residential and others",134.618,72.986,14.39,2.271
"205",2006,"Odisha","Industrial Areas",174.715,85.025,15.487,6.807
"206",2006,"Odisha","Residential and others",164.036,75.274,16.282,4.677
"207",2006,"Puducherry","Industrial Areas",110.695,55.499,11.596,13.485
"208",2006,"Puducherry","Residential and others",116.597,46.561,11.316,7.799
"209",2006,"Punjab","Industrial Areas",252.721,205.601,32.088,12.778
"210",2006,"Punjab","Residential and others",248.568,199.871,30.734,11.714
"211",2006,"Rajasthan","Industrial Areas",317.094,132.021,24.069,7.983
"212",2006,"Rajasthan","Residential and others",298.062,117.286,26.952,6.143
"213",2006,"Tamil Nadu","Industrial Areas",143.648,68.702,25.285,13.777
"214",2006,"Tamil Nadu","Residential and others",99.12,50.006,26.136,11.463
"215",2006,"Uttar Pradesh","Industrial Areas",386.295,178.072,27.028,16.354
"216",2006,"Uttar Pradesh","Residential and others",365.437,169.048,25.072,10.925
"217",2006,"Uttar Pradesh","Sensitive Areas",402.867,198.925,24.624,8.571
"218",2006,"Uttaranchal","Residential and others",266.845,120.394,27.907,25.261
"219",2006,"West Bengal","Industrial Areas",269.491,124.212,61.093,8.174
"220",2006,"West Bengal","Residential and others",193.959,100.662,52.838,6.55
"221",2007,"Andhra Pradesh","Industrial Areas",231.814,89.613,31.883,6.75
"222",2007,"Andhra Pradesh","Residential and others",205.002,85.921,27.01,6.695
"223",2007,"Andhra Pradesh","Sensitive Areas",128.524,53.13,19.179,5.761
"224",2007,"Assam","Residential and others",136.158,84.858,14.173,7.343
"225",2007,"Bihar","Residential and others",294.865,116.362,41.44,10.162
"226",2007,"Chandigarh","Industrial Areas",290.197,132.875,20.823,2.677
"227",2007,"Chandigarh","Residential and others",201.483,94.423,14.411,2.681
"228",2007,"Chhattisgarh","Industrial Areas",279.747,169.236,31.834,19.201
"229",2007,"Chhattisgarh","Residential and others",201.237,104.5,24.295,13.415
"230",2007,"Dadra & Nagar Haveli","Industrial Areas",247.5,105.75,18.887,10.637
"231",2007,"Dadra & Nagar Haveli","Residential and others",173.889,74.333,18.889,10.644
"232",2007,"Daman & Diu","Industrial Areas",255.5,109.25,19.2,10.812
"233",2007,"Daman & Diu","Residential and others",178,75.875,17.663,13.787
"234",2007,"Delhi","Industrial Areas",431.679,193.418,51.373,7.339
"235",2007,"Delhi","Residential and others",365.925,169.826,47.437,5.887
"236",2007,"Goa","Industrial Areas",121.681,50.827,14.077,6.386
"237",2007,"Goa","Residential and others",105.327,49.901,12.307,6.676
"238",2007,"Gujarat","Industrial Areas",241.216,113.716,29.245,19.6
"239",2007,"Gujarat","Residential and others",169.691,82.534,22.614,14.089
"240",2007,"Haryana","Industrial Areas",181.67,103.07,29.47,11.967
"241",2007,"Haryana","Residential and others",200.564,120.141,12.312,8.562
"242",2007,"Himachal Pradesh","Industrial Areas",304.249,109.649,12.926,2.853
"243",2007,"Himachal Pradesh","Residential and others",128.362,72.612,14.151,2.938
"244",2007,"Himachal Pradesh","Sensitive Areas",91.462,46.124,11.108,3.431
"245",2007,"Jharkhand","Industrial Areas",243.71,160.63,50.526,28.615
"246",2007,"Jharkhand","Residential and others",262.928,124.105,47.701,20.886
"247",2007,"Karnataka","Industrial Areas",171.421,70.736,24.124,12.974
"248",2007,"Karnataka","Residential and others",195.148,81.76,24.262,10.002
"249",2007,"Karnataka","Sensitive Areas",198.881,67.548,38.473,16.771
"250",2007,"Kerala","Industrial Areas",85.223,50.738,13.41,8.487
"251",2007,"Kerala","Residential and others",75.5,52.191,19.362,5.608
"252",2007,"Madhya Pradesh","Industrial Areas",225.933,128.077,16.916,13.614
"253",2007,"Madhya Pradesh","Residential and others",218.41,101.006,17.949,10.089
"254",2007,"Madhya Pradesh","Sensitive Areas",234.006,111.279,15.092,13.545
"255",2007,"Maharashtra","Industrial Areas",198.242,95.825,31.81,22.489
"256",2007,"Maharashtra","Residential and others",207.998,90.096,29.002,16.289
"257",2007,"Maharashtra","Sensitive Areas",135.233,62.78,17.686,6.336
"258",2007,"Manipur","Residential and others",130.179,64.679,20.538,3.775
"259",2007,"Meghalaya","Residential and others",79.761,65.391,12.046,7.54
"260",2007,"Mizoram","Residential and others",86.115,39.7,7.481,2.107
"261",2007,"Nagaland","Residential and others",124.625,67.442,14.083,2.249
"262",2007,"Odisha","Industrial Areas",182.238,86.417,15.196,6.978
"263",2007,"Odisha","Residential and others",161.607,73.121,15.958,4.96
"264",2007,"Puducherry","Industrial Areas",84.83,51.212,10.644,6.723
"265",2007,"Puducherry","Residential and others",78.258,48.269,10.324,6.188
"266",2007,"Punjab","Industrial Areas",250.931,200.26,32.785,11.716
"267",2007,"Punjab","Residential and others",254.16,183.633,31.42,10.545
"268",2007,"Rajasthan","Industrial Areas",313.458,125.298,24.792,7.937
"269",2007,"Rajasthan","Residential and others",280.684,109.954,25.069,6.33
"270",2007,"Sikkim","Residential and others",75,32,26.8,19.8
"271",2007,"Tamil Nadu","Industrial Areas",166.168,77.113,22.124,14.055
"272",2007,"Tamil Nadu","Residential and others",104.224,55.327,21.588,13.015
"273",2007,"Uttar Pradesh","Industrial Areas",397.724,176.523,27.202,17.956
"274",2007,"Uttar Pradesh","Residential and others",398.339,162.897,28.279,12.09
"275",2007,"Uttar Pradesh","Sensitive Areas",369.744,184.699,25.887,8.903
"276",2007,"Uttaranchal","Industrial Areas",187.5,77.929,21.814,19.786
"277",2007,"Uttaranchal","Residential and others",260.343,105.439,28.712,26.438
"278",2007,"West Bengal","Industrial Areas",229.88,108.837,62.692,8.458
"279",2007,"West Bengal","Residential and others",198.381,94.05,55.838,7.095
"280",2008,"Andhra Pradesh","Industrial Areas",221.469,88.53,28.131,6.259
"281",2008,"Andhra Pradesh","Residential and others",216.86,87.023,26.025,7.254
"282",2008,"Andhra Pradesh","Sensitive Areas",136.278,53.033,17.647,6.76
"283",2008,"Assam","Residential and others",144.063,92.121,13.462,6.381
"284",2008,"Bihar","Residential and others",300.712,118.763,37.95,9.746
"285",2008,"Chandigarh","Industrial Areas",257.149,123.221,20.449,2.694
"286",2008,"Chandigarh","Residential and others",183.159,88.554,15.043,2.677
"287",2008,"Chhattisgarh","Industrial Areas",316.354,180.077,35.162,21.47
"288",2008,"Chhattisgarh","Residential and others",236.901,114.26,25.346,14.341
"289",2008,"Dadra & Nagar Haveli","Industrial Areas",228.375,108.913,17.268,9.789
"290",2008,"Dadra & Nagar Haveli","Residential and others",153.769,77.769,17.381,9.916
"291",2008,"Daman & Diu","Industrial Areas",244.019,104.615,17.706,10.239
"292",2008,"Daman & Diu","Residential and others",178.225,87.275,16.425,9.31
"293",2008,"Delhi","Industrial Areas",485.41,228.586,62.072,8.512
"294",2008,"Delhi","Residential and others",411.76,211.098,56.293,6.597
"295",2008,"Goa","Industrial Areas",155.111,89.722,14.733,6.333
"296",2008,"Goa","Residential and others",180.4,101.7,16.74,6.242
"297",2008,"Gujarat","Industrial Areas",229.884,105.072,25.186,16.569
"298",2008,"Gujarat","Residential and others",164.693,77.015,21.103,12.771
"299",2008,"Haryana","Industrial Areas",327.645,292.614,29.629,14.701
"300",2008,"Haryana","Residential and others",221.234,124.617,13.218,9.791
"301",2008,"Himachal Pradesh","Industrial Areas",279.543,146.045,12.628,2.77
"302",2008,"Himachal Pradesh","Residential and others",140.992,72.071,13.023,2.831
"303",2008,"Himachal Pradesh","Sensitive Areas",92.503,49.051,10.705,3.061
"304",2008,"Jharkhand","Industrial Areas",258.788,166.044,47.629,29.728
"305",2008,"Jharkhand","Residential and others",267.488,154.438,38.083,18.823
"306",2008,"Karnataka","Industrial Areas",182.755,77.115,24.569,12.647
"307",2008,"Karnataka","Residential and others",210.046,81.014,25.643,9.245
"308",2008,"Karnataka","Sensitive Areas",204.279,66.144,40.463,15.086
"309",2008,"Kerala","Industrial Areas",87.685,44.036,13.427,7.236
"310",2008,"Kerala","Residential and others",72.192,50.295,20.123,5.818
"311",2008,"Madhya Pradesh","Industrial Areas",279.547,161.815,18.326,14.708
"312",2008,"Madhya Pradesh","Residential and others",222.178,112.836,19.281,10.544
"313",2008,"Madhya Pradesh","Sensitive Areas",177.951,85.528,13.289,11.618
"314",2008,"Maharashtra","Industrial Areas",224.442,109.528,36.583,21.558
"315",2008,"Maharashtra","Residential and others",220.775,98.098,30.353,16.257
"316",2008,"Maharashtra","Sensitive Areas",177.498,64.162,17.776,7.739
"317",2008,"Manipur","Residential and others",238.4,84.2,19.155,4.25
"318",2008,"Meghalaya","Residential and others",85.893,71.538,14.539,9.033
"319",2008,"Mizoram","Residential and others",80.275,37.304,7.002,2.085
"320",2008,"Nagaland","Residential and others",128.514,72.384,13.99,2.075
"321",2008,"Odisha","Industrial Areas",208.631,97.078,20.916,8.376
"322",2008,"Odisha","Residential and others",170.716,79.143,16.055,5.118
"323",2008,"Puducherry","Industrial Areas",82.515,52.884,12.985,6.111
"324",2008,"Puducherry","Residential and others",93.608,44.01,10.942,5.64
"325",2008,"Punjab","Industrial Areas",245.148,211.983,30.615,10.26
"326",2008,"Punjab","Residential and others",252.884,195.32,30.517,9.994
"327",2008,"Rajasthan","Industrial Areas",312.335,139.318,30.985,7.444
"328",2008,"Rajasthan","Residential and others",305.784,123.34,27.633,6.519
"329",2008,"Tamil Nadu","Industrial Areas",170.532,81.751,22.09,13.329
"330",2008,"Tamil Nadu","Residential and others",105.047,59.118,21.638,13.029
"331",2008,"Uttar Pradesh","Industrial Areas",410.409,193.148,28.459,16.138
"332",2008,"Uttar Pradesh","Residential and others",415.734,172.46,29.862,11.269
"333",2008,"Uttar Pradesh","Sensitive Areas",402.573,191.92,27.57,8.549
"334",2008,"Uttaranchal","Industrial Areas",189.769,117.28,21.446,20.123
"335",2008,"Uttaranchal","Residential and others",293.897,125.884,28.082,27.364
"336",2008,"West Bengal","Industrial Areas",249.46,114.147,70.857,9.667
"337",2008,"West Bengal","Residential and others",212.318,97.364,62.93,8.128
"338",2009,"Andhra Pradesh","Industrial Areas",226.991,88.295,22.998,7.295
"339",2009,"Andhra Pradesh","Residential and others",224.136,86.549,22.76,7.518
"340",2009,"Andhra Pradesh","Sensitive Areas",148.36,55.739,17.777,6.633
"341",2009,"Assam","Residential and others",175.378,96.983,15.251,6.823
"342",2009,"Bihar","Residential and others",267.969,98.478,32.854,9.308
"343",2009,"Chandigarh","Industrial Areas",185.202,93.299,19.485,2.677
"344",2009,"Chandigarh","Residential and others",157.642,77.825,14.929,2.682
"345",2009,"Chhattisgarh","Industrial Areas",319.628,174.09,34.237,20.282
"346",2009,"Chhattisgarh","Residential and others",247.324,120.739,24.415,13.383
"347",2009,"Dadra & Nagar Haveli","Industrial Areas",312.942,71.232,17.319,8.59
"348",2009,"Daman & Diu","Industrial Areas",222.642,57.119,18.837,7.273
"349",2009,"Delhi","Industrial Areas",504.105,233.696,47.791,7.079
"350",2009,"Delhi","Residential and others",477.905,257.239,51.276,6.5
"351",2009,"Goa","Industrial Areas",160.859,69.808,13.695,6.071
"352",2009,"Goa","Residential and others",141.314,75.257,14.889,6.516
"353",2009,"Gujarat","Industrial Areas",226.149,107.908,26.805,18.284
"354",2009,"Gujarat","Residential and others",173.046,82.869,22.314,14.89
"355",2009,"Haryana","Industrial Areas",313.162,253.586,26.632,12.928
"356",2009,"Himachal Pradesh","Industrial Areas",226.036,120.332,15.515,3.105
"357",2009,"Himachal Pradesh","Residential and others",149.505,75.413,13.586,3.077
"358",2009,"Himachal Pradesh","Sensitive Areas",124.024,62.744,10.139,2.91
"359",2009,"Jammu & Kashmir","Industrial Areas",220.467,114.548,12.743,14.35
"360",2009,"Jammu & Kashmir","Residential and others",185.031,92.815,11.643,5.698
"361",2009,"Jharkhand","Industrial Areas",328.048,190.298,45.545,28.123
"362",2009,"Jharkhand","Residential and others",320.696,176.261,34.764,17.968
"363",2009,"Karnataka","Industrial Areas",172.582,73.064,26.211,11.989
"364",2009,"Karnataka","Residential and others",236.219,98.191,24.95,8.41
"365",2009,"Karnataka","Sensitive Areas",175.071,60.918,37.654,14.391
"366",2009,"Kerala","Industrial Areas",85.992,47.37,11.785,6.9
"367",2009,"Kerala","Residential and others",64.901,45.959,19.881,5.688
"368",2009,"Madhya Pradesh","Industrial Areas",268.618,141.998,17.463,13.488
"369",2009,"Madhya Pradesh","Residential and others",231.086,116.856,18.809,10.845
"370",2009,"Madhya Pradesh","Sensitive Areas",136.354,68.146,12.249,10.282
"371",2009,"Maharashtra","Industrial Areas",244.169,115.756,34.037,18.85
